sn,D1,D2,D3,D4,D5,C1,C2,C3,C4,C5,R1,R2,R3,R4,R5,RE1,RE2,RE3,RE4,RE5
1,SA,SA,A,SA,NS,SA,SA,NS,SA,SA,A,SA,NS,SA,SA,SA,SA,NS,SA,SA
2,A,NS,NS,D,NS,NS,A,NS,SA,SA,NS,NS,NS,NS,A,NS,NS,NS,NS,NS
3,A,SA,NS,SA,A,NS,NS,NS,SA,SA,A,NS,NS,A,A,A,A,A,A,NS
4,SA,SA,SA,SA,NS,SA,SA,SA,SA,SA,SA,NS,SA,SA,SA,SA,SA,,NS,NS
5,SA,SA,A,SA,A,SA,SA,NS,SA,SA,NS,SA,SA,SA,SA,A,A,A,SA,SA
6,A,NS,SA,SA,,A,SA,A,SA,SA,A,SA,A,SA,SA,SA,SA,A,A,NS
7,SA,SA,SA,SA,A,A,SA,A,SA,SA,NS,A,SA ,SA,SA,A,SA,A,A,SA
8,SD,D,NS,,D,D,NS,NS,,NS,D,NS,NS,D,D,D,NS,NS,NS,D
9,SD,NS,SD,SA,A,NS,D,D,SA,SA,A,A,A,A,SA,A,NS,A,A,A
10,SA,NS,NS,SA,NS,NS,A,NS,SA,SA,NS,NS,NS,NS,SA,NS,NS,NS,A,A
11,A,A,A,A,NS,A,A,D,A,A,A,A,A,A,A,A,SA,SA,SA,A
12,SA,SA,A,SA,NS,SA,SA,NS,SA,SA,NS,NS,A,A,SA,SA,SA,A,NS,SA
13,SA,NS,D,SD,NS,NS,A,NS,A,SA,NS,NS,A,SA,SA,SA,NS,A,A,SA
14,SA,A,SA,A,SA,NS,NS,NS,SA,SA,NS,NS,SA,SA,SA,NS,NS,NS,SA,SA
15,A,A,D,D,NS,A,NS,NS,A,A,NS,NS,NS,NS,SA,NS,NS,NS,A,A
16,SA,A,SA,A,NS,NS,NS,NS,SA,SA,NS,NS,A,SA,SA,NS,NS,NS,SA,SA
17,A,NS,NS,SD,A,A,NS,NS,SA,SA,D,NS,A,NS,SA,A,A,NS,D,SD
18,SA,NS,SD,D,NS,SA,NS,NS,SA,SA,SA,SA,NS,A,SA,NS,A,NS,D,SA
19,SA,NS,SD,D,NS,SA,NS,NS,SA,SA,SA,SA,NS,A,SA,NS,A,NS,D,SA
20,SA,SA,SA,D,D,SA,SA,NS,SA,SA,A,NS,NS,NS,SA,NS,A,SA,SA,SA
21,A,NS,SD,SD,NS,SA,NS,NS,SA,SA,NS,NS,SA,SA,SA,NS,NS,NS,SA,SA
22,SD,SD,SD,SD,NS,A,A,A,A,A,NS,A,NS,NS,A,NS,NS,NS,A,A
23,A,A,A,SD,A,A,A,SD,SA,SA,NS,SD,A,A,SA,NS,NS,NS,SA,SA
24,A,A,A,SD,A,A,A,SD,SA,SA,NS,SD,A,A,A,NS,NS,NS,SA,SA
25,SA,SA,A,SA,SA,A,A,SA,SA,SA,A,A,SA,A,SA,A,A,SA,SA,A
26,SA,A,A,SD,NS,A,A,SD,SA,SA,NS,NS,A,A,SA,NS,NS,SD,SA,SA
27,SA,SA,SD,SA,A,A,SA,SD,SA,SA,SA,SA,NS,SA,A,SA,A,A,SA,SA
28,D,SA,D,SA,A,A,SA,D,SA,SA,A,A,A,A,SA,SA,SA,SA,A,SA
29,NS,A,NS,SA,A,A,NS,SA,SA,A,A,A,A,A,A,A,NS,NS,A,A
30,A,NS,A,SA,A,A,SA,A,SA,SA,A,A,NS,NS,D,A,A,A,NS,A
31,SA,A,NS,SA,A,SA,D,NS,SA,SA,A,SA,SA,A,D,A,A,NS,SA,A
32,A,A,A,A,A,NS,A,NS,A,A,A,NS,A,A,A,A,A,A,A,A
33,SA,SA,NS,A,A,A,A,A,SA,SA,SA,A,A,A,A,A,A,A,A,A
34,A,SA,NS,A,NS,SA,A,NS,SA,SA,A,NS,A,A,SA,A,A,A,A,A
35,A,NS,NS,NS,NS,NS,NS,NS,A,A,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
36,A,SA,A,NS,A,A,NS,NS,NS,NS,A,NS,A,A,A,A,A,A,A,A
37,NS,NS,NS,D,A,A,A,NS,SA,SA,SA,NS,A,A,SA,NS,NS,SA,A,SA
38,A,A,SD,SD,D,SA,A,D,SA,SA,A,NS,A,A,SA,A,A,A,A,SA
39,A,A,A,D,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
40,A,NS,A,SA,A,A,A,D,SA,SA,NS,NS,NS,NS,SA,A,A,A,A,SA
41,SA,A,D,SA,NS,D,A,NS,SA,SA,SA,NS,D,SA,SA,SA,SA,NS,A,SA
42,D,SA,SA,SA,A,NS,SA,SA,NS,SA,D,NS,A,SA,SA,A,SA,A,SA,NS
43,A,D,NS,SD,NS,D,D,NS,SA,A,NS,NS,NS,NS,SA,NS,NS,NS,NS,A
44,SA,A,SA,SD,NS,SA,NS,SA,NS,SA,A,A,A,A,SA,A,A,SD,A,SA
45,D,A,NS,D,A,D,NS,SA,D,NS,D,NS,A,D,NS,SD,NS,A,D,SA
46,SA,SA,NS,SD,NS,SA,NS,NS,SA,A,NS,NS,A,NS,SA,A,A,SA,A,SA
47,SA,SA,SA,SD,NS,SA,SA,NS,SA,SA,NS,NS,NS,D,SA,SA,SA,SA,SA,SA
48,SA,SA,SA,SD,NS,SA,SA,NS,A,A,NS,NS,A,D,SA,SA,SA,SA,SA,SA
49,A,NS,A,SD,A,A,SD,D,A,A,NS,NS,SD,A,A,NS,NS,NS,A,A
50,NS,A,NS,D,NS,NS,NS,D,A,A,NS,NS,NS,NS,SA,NS,NS,NS,SA,A
51,A,NS,D,A,NS,NS,NS,D,A,A,NS,NS,NS,A,SA,NS,NS,NS,SA,SA
52,SA,A,A,SD,NS,A,A,SD,SA,SA,NS,NS,A,A,SA,NS,NS,SD,SA,SA
53,SA,A,A,A,SA,A,SA,A,SA,SA,D,A,A,A,SA,D,D,NS,A,A
54,SA,SA,SA,SA,A,A,SA,A,SA,SA,A,A,A,A,SA,A,A,A,SA,SA
55,SD,A,NS,SA,SA,SA,D,NS,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
56,SA,SA,NS,SA,SA,SA,SA,A,SA,SA,SA,SA,SA ,SA,SA,SA,SA,SA,SA,SA
57,SA,SA,NS,SA,A,SA,SA,NS,SA,SA,A,A,A,A,SA,SA,SA,A,SA,SA
58,NS,A,A,A,A,A,A,NS,A,A,NS,A,A,SA,SA,A,A,A,A,A
59,A,A,SA,SA,A,A,SA,A,SA,SA,A,A,A,A,A,SA,SA,SA,SA,A
60,A,NS,NS,A,A,NS,A,A,SA,SA,NS,A,A,A,A,A,NS,A,A,NS
61,SA,A,NS,SA,NS,A,A,NS,SA,SA,A,NS,NS,SA,SA,NS,NS,NS,NS,SA
62,A,SA,A,SA,A,A,SA,A,SA,SA,NS,A,A,A,A,A,A,A,A,A
63,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
64,SA,SA,NS,SA,A,SA,SA,NS,SA,SA,NS,SA,NS,,A,SA,SA,SA,NS,SA
65,A,A,SD,A,A,A,SA,SA,SA,A,A,A,A,A,A,A,A,A,A,SA
66,A,SA,D,SA,SA,SD,D,SD,SA,SA,A,A,SA,A,SA,NS,NS,NS,A,A
67,D,A,NS,SA,A,A,A,NS,SA,SA,A,NS,NS,D,SA,A,NS,NS,A,SA
68,SA,A,NS,SA,A,D,A,NS,SA,SA,NS,A,NS,NS,A,A,SA,NS,NS,SD
69,D,A,A,A,A,A,A,D,SA,SA,A,A,NS,A,A,A,A,A,A,A
70,NS,A,NS,A,NS,NS,A,NS,A,A,A,A,A,A,A,A,SA,A,SA,SA
71,A,NS,D,SD,A,SA,SA,D,SA,SA,SA,A,SA,NS,SA,SA,SA,SA,SA,SA
72,A,NS,A,SA,A,A,SA,A,SA,SA,A,A,NS,NS,D,A,A,A,NS,A
73,SA,A,NS,SA,A,SA,D,NS,SA,SA,A,SA,SA,A,D,A,A,NS,SA,A
74,A,A,A,A,A,NS,A,NS,A,A,A,NS,A,A,A,A,A,A,A,A
75,SA,SA,NS,A,A,A,A,A,SA,SA,SA,A,A,A,A,A,A,A,A,A
76,A,SA,NS,A,NS,SA,A,NS,SA,SA,A,NS,A,A,SA,A,A,A,A,A
77,A,NS,NS,NS,NS,NS,NS,NS,A,A,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
78,A,SA,A,NS,A,A,NS,NS,NS,NS,A,NS,A,A,A,A,A,A,A,A
79,A,NS,A,SA,A,A,A,D,SA,SA,NS,NS,NS,NS,SA,A,A,A,A,SA
80,A,SA,A,SA,A,SA,SA,D,SA,SA,A,SA,A,SA,SA,SA,SA,A,SA,SA
81,A,A,D,D,A,A,A,D,SA,SA,SA,A,A,SA,A,SA,SA,SA,SA,SA
82,A,SA,D,SA,A,A,A,D,SA,SA,A,A,A,A,A,A,A,A,A,SA
83,D,SA,SA,SA,D,SA,SA,SA,SA,SA,SA,A,SA,SA,SA,SA,SA,A,A,SA
84,D,SA,A,SA,A,SA,SA,SA,SA,SA,D,SA,SA,SA,SA,A,A,A,SA,SA
85,A,A,SA,SA,A,A,SA,A,SA,SA,A,SA,A,SA,SA,SA,SA,A,A,SA
86,A,SA,SA,SA,A,A,SA,A,SA,SA,A,A,SA ,SA,SA,A,SA,A,A,SA
87,D,D,A,A,D,D,A,A,A,A,A,A,SA,A,A,A,A,SA,SA,A
88,D,A,D,SA,A,SA,A,D,SA,SA,A,A,A,A,SA,A,A,A,A,A
89,A,A,D,SA,SA,SA,A,A,SA,SA,SA,SA,SA,SA,SA,A,A,SA,A,A
90,A,A,A,A,SA,A,A,D,A,A,A,A,A,A,A,A,SA,SA,SA,A
91,SA,SA,A,SA,SA,SA,SA,SA,SA,SA,SA,SA,A,A,SA,SA,SA,A,SA,SA
92,SA,D,D,SD,SA,A,SA,SA,A,SA,A,SA,A,SA,SA,SA,A,A,A,SA
93,SA,A,SA,A,SA,A,SA,SA,SA,SA,A,A,SA,SA,SA,SA,A,A,SA,SA
94,A,A,D,A,D,A,SA,SA,A,A,A,A,SA,A,SA,SA,SA,A,A,A
95,SA,A,SA,A,D,D,SA,SA,SA,SA,D,A,A,SA,SA,SA,SA,A,SA,SA
96,A,D,A,A,A,A,A,A,SA,SA,D,A,A,SA,SA,A,A,SA,SA,A
97,SA,A,SD,A,A,SA,A,A,SA,SA,SA,SA,A,A,SA,A,A,SA,SA,SA
98,SA,A,SD,D,A,SA,A,D,SA,SA,SA,SA,A,A,SA,A,A,SA,A,SA
99,SA,SA,SA,D,D,SA,SA,SA,SA,SA,A,A,A,SA,SA,A,A,SA,SA,SA
100,SA,NS,NS,SA,NS,NS,A,NS,SA,SA,NS,NS,NS,NS,SA,NS,NS,NS,A,A
101,A,A,A,A,NS,A,A,D,A,A,A,A,A,A,A,A,SA,SA,SA,A
102,SA,SA,A,SA,NS,SA,SA,NS,SA,SA,NS,NS,A,A,SA,SA,SA,A,NS,SA
103,SA,NS,D,SD,NS,NS,A,NS,A,SA,NS,NS,A,SA,SA,SA,NS,A,A,SA
104,A,SA,A,SA,A,SA,SA,D,SA,SA,A,SA,A,SA,SA,SA,SA,A,SA,SA
105,A,A,D,D,A,A,A,D,SA,SA,SA,A,A,SA,A,SA,SA,SA,SA,SA
106,A,SA,D,SA,A,A,A,D,SA,SA,A,A,A,A,A,A,A,A,A,SA
107,D,SA,SA,SA,D,SA,SA,SA,SA,SA,SA,A,SA,SA,SA,SA,SA,A,A,SA
108,D,SA,A,SA,A,SA,SA,SA,SA,SA,D,SA,SA,SA,SA,A,A,A,SA,SA
109,A,A,SA,SA,A,A,SA,A,SA,SA,A,SA,A,SA,SA,SA,SA,A,A,SA
110,A,SA,SA,SA,A,A,SA,A,SA,SA,A,A,SA ,SA,SA,A,SA,A,A,SA
111,D,D,A,A,D,D,A,A,A,A,A,A,SA,A,A,A,A,SA,SA,A
112,D,A,D,SA,A,SA,A,D,SA,SA,A,A,A,A,SA,A,A,A,A,A
113,A,A,D,SA,SA,SA,A,A,SA,SA,SA,SA,SA,SA,SA,A,A,SA,A,A
114,A,A,A,A,SA,A,A,D,A,A,A,A,A,A,A,A,SA,SA,SA,A
115,SA,SA,A,SA,SA,SA,SA,SA,SA,SA,SA,SA,A,A,SA,SA,SA,A,SA,SA
116,SA,D,D,SD,SA,A,SA,SA,A,SA,A,SA,A,SA,SA,SA,A,A,A,SA
117,SA,A,SA,A,SA,A,SA,SA,SA,SA,A,A,SA,SA,SA,SA,A,A,SA,SA
118,A,A,D,A,D,A,SA,SA,A,A,A,A,SA,A,SA,SA,SA,A,A,A
119,SA,A,SA,A,D,D,SA,SA,SA,SA,D,A,A,SA,SA,SA,SA,A,SA,SA
120,A,D,A,A,A,A,A,A,SA,SA,D,A,A,SA,SA,A,A,SA,SA,A
121,SA,A,SD,A,A,SA,A,A,SA,SA,SA,SA,A,A,SA,A,A,SA,SA,SA
122,SA,A,SD,D,A,SA,A,D,SA,SA,SA,SA,A,A,SA,A,A,SA,A,SA
123,SA,SA,SA,D,D,SA,SA,SA,SA,SA,A,A,A,SA,SA,A,A,SA,SA,SA
124,A,SA,A,SA,A,SA,SA,D,SA,SA,A,SA,A,SA,SA,SA,SA,A,SA,SA
125,A,A,D,D,A,A,A,D,SA,SA,SA,A,A,SA,A,SA,SA,SA,SA,SA
126,A,SA,D,SA,A,A,A,D,SA,SA,A,A,A,A,A,A,A,A,A,SA
127,D,SA,SA,SA,D,SA,SA,SA,SA,SA,SA,A,SA,SA,SA,SA,SA,A,A,SA
128,D,SA,A,SA,A,SA,SA,SA,SA,SA,D,SA,SA,SA,SA,A,A,A,SA,SA
129,A,A,SA,SA,A,A,SA,A,SA,SA,A,SA,A,SA,SA,SA,SA,A,A,SA
130,A,SA,SA,SA,A,A,SA,A,SA,SA,A,A,SA ,SA,SA,A,SA,A,A,SA
131,D,D,A,A,D,D,A,A,A,A,A,A,SA,A,A,A,A,SA,SA,A
132,D,A,D,SA,A,SA,A,D,SA,SA,A,A,A,A,SA,A,A,A,A,A
133,A,A,D,SA,SA,SA,A,A,SA,SA,SA,SA,SA,SA,SA,A,A,SA,A,A
134,A,A,A,A,SA,A,A,D,A,A,A,A,A,A,A,A,SA,SA,SA,A
135,SA,SA,A,SA,SA,SA,SA,SA,SA,SA,SA,SA,A,A,SA,SA,SA,A,SA,SA
136,SA,D,D,SD,SA,A,SA,SA,A,SA,A,SA,A,SA,SA,SA,A,A,A,SA
137,SA,A,SA,A,SA,A,SA,SA,SA,SA,A,A,SA,SA,SA,SA,A,A,SA,SA
138,A,A,D,A,D,A,SA,SA,A,A,A,A,SA,A,SA,SA,SA,A,A,A
139,SA,A,SA,A,D,D,SA,SA,SA,SA,D,A,A,SA,SA,SA,SA,A,SA,SA
140,A,D,A,A,A,A,A,A,SA,SA,D,A,A,SA,SA,A,A,SA,SA,A
141,A,SA,A,SA,A,SA,SA,D,SA,SA,A,SA,A,SA,SA,SA,SA,A,SA,SA
142,A,A,D,D,A,A,A,D,SA,SA,SA,A,A,SA,A,SA,SA,SA,SA,SA
143,A,SA,D,SA,A,A,A,D,SA,SA,A,A,A,A,A,A,A,A,A,SA
144,D,SA,SA,SA,D,SA,SA,SA,SA,SA,SA,A,SA,SA,SA,SA,SA,A,A,SA
145,D,SA,A,SA,A,SA,SA,SA,SA,SA,D,SA,SA,SA,SA,A,A,A,SA,SA
146,A,A,SA,SA,A,A,SA,A,SA,SA,A,SA,A,SA,SA,SA,SA,A,A,SA
147,A,SA,SA,SA,A,A,SA,A,SA,SA,A,A,SA ,SA,SA,A,SA,A,A,SA
148,D,D,A,A,D,D,A,A,A,A,A,A,SA,A,A,A,A,SA,SA,A
149,D,A,D,SA,A,SA,A,D,SA,SA,A,A,A,A,SA,A,A,A,A,A
150,A,A,D,SA,SA,SA,A,A,SA,SA,SA,SA,SA,SA,SA,A,A,SA,A,A
151,A,A,A,A,SA,A,A,D,A,A,A,A,A,A,A,A,SA,SA,SA,A
152,SA,SA,A,SA,SA,SA,SA,SA,SA,SA,SA,SA,A,A,SA,SA,SA,A,SA,SA
153,SA,D,D,SD,SA,A,SA,SA,A,SA,A,SA,A,SA,SA,SA,A,A,A,SA
154,SA,A,SA,A,SA,A,SA,SA,SA,SA,A,A,SA,SA,SA,SA,A,A,SA,SA
155,A,A,D,A,D,A,SA,SA,A,A,A,A,SA,A,SA,SA,SA,A,A,A
156,SA,A,SA,A,D,D,SA,SA,SA,SA,D,A,A,SA,SA,SA,SA,A,SA,SA
157,A,D,A,A,A,A,A,A,SA,SA,D,A,A,SA,SA,A,A,SA,SA,A
158,SA,A,SD,A,A,SA,A,A,SA,SA,SA,SA,A,A,SA,A,A,SA,SA,SA
